mode,sample_idx,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",B,0.00010033309081336483,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",C,0.00010847691737581044,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",D,0.00016917497850954533,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",E,0.00020188873168081045,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",F,0.00043074978748336434,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",G,0.00010419926547911018,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",H,6.268845027079806e-05,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",I,1.2273588254174683e-05,True
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",J,0.024165065959095955,False
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",K,0.06993831694126129,False
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",L,0.04607626423239708,False
one-step,713,10,"A,B,C,D,E,F,G,H,I,M",M,3.503647860725323e-07,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",A,0.00010047680552816018,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",B,9.936059359461069e-05,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",C,8.13879378256388e-05,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",D,0.00014579936396330595,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",E,0.00022523492225445807,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",F,0.0004460052296053618,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",G,0.0001830132823670283,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",H,0.00017030668095685542,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",I,0.0005225674831308424,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",J,0.00044483967940323055,True
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",K,0.07052747160196304,False
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",L,0.046027772128582,False
one-step,713,11,"A,B,C,D,E,F,G,H,I,J,M",M,2.844456048478605e-07,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.00011114939843537286,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.00011325429659336805,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",C,8.874722698237747e-05,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.00016104256792459637,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.00022483766952063888,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.0004788318183273077,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.00019572330347727984,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.00017435043992009014,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.0005264600040391088,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.0004552423779387027,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",K,1.2609174291355885e-06,True
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.0001075373511412181,False
one-step,713,12,"A,B,C,D,E,F,G,H,I,J,K,M",M,3.772618129005423e-07,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.00010215488873654976,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.00010160532110603526,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,8.428036380792037e-05,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.00014988095790613443,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.00021424895385280252,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.0004754234978463501,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.0001864562655100599,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.00016517413314431906,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.0005214752745814621,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.00045215358841232955,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,2.7023354050470516e-05,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,3.99620330426842e-05,True
one-step,713,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,4.20601136283949e-05,True
one-step,199,2,"A,M",A,9.212985787598882e-06,True
one-step,199,2,"A,M",B,0.019628921523690224,False
one-step,199,2,"A,M",C,0.012885602191090584,False
one-step,199,2,"A,M",D,0.020806966349482536,False
one-step,199,2,"A,M",E,0.030549976974725723,False
one-step,199,2,"A,M",F,0.054337553679943085,False
one-step,199,2,"A,M",G,0.023671738803386688,False
one-step,199,2,"A,M",H,0.021459944546222687,False
one-step,199,2,"A,M",I,0.06184437498450279,False
one-step,199,2,"A,M",J,0.040125373750925064,False
one-step,199,2,"A,M",K,0.07289934158325195,False
one-step,199,2,"A,M",L,0.0481247678399086,False
one-step,199,2,"A,M",M,7.841516236339885e-08,True
one-step,199,3,"A,B,M",A,8.46251077746274e-06,True
one-step,199,3,"A,B,M",B,1.4407017260964494e-05,True
one-step,199,3,"A,B,M",C,0.010975060053169727,False
