scaffold,P,sample_idx,species,nrmse
reduced4_AEIM,4,652,M,1.0077523496252963
reduced4_AEIM,4,346,A,0.3318841970600384
reduced4_AEIM,4,346,M,0.8315999470677445
reduced4_AEIM,4,381,A,0.16021309944786016
reduced4_AEIM,4,381,M,0.823636256631051
reduced4_AEIM,4,493,A,0.11269893811461093
reduced4_AEIM,4,493,M,0.8480916581295659
reduced4_AEIM,4,708,A,0.1004577327227241
reduced4_AEIM,4,708,M,1.0574073794003922
reduced4_AEIM,4,513,A,0.12695193848365185
reduced4_AEIM,4,513,M,0.8727610092443645
reduced4_AEIM,4,563,A,0.17922478319958784
reduced4_AEIM,4,563,M,0.5161281019370401
reduced4_AEIM,4,857,A,0.18287149780698256
reduced4_AEIM,4,857,M,0.6305142105162187
reduced4_AEIM,4,781,A,0.1236224854344055
reduced4_AEIM,4,781,M,0.9816531656673941
reduced4_AEIM,4,135,A,0.09560034867172833
reduced4_AEIM,4,135,M,0.8905926119666987
reduced4_AEIM,4,232,A,0.09677738810640645
reduced4_AEIM,4,232,M,0.9118360862473256
reduced4_AEIM,4,931,A,0.16936134231487618
reduced4_AEIM,4,931,M,0.9075861770067447
reduced4_AEIM,4,426,A,0.13089121784870564
reduced4_AEIM,4,426,M,0.9148337047219651
reduced4_AEIM,4,660,A,0.122994201541013
reduced4_AEIM,4,660,M,0.8574802493566261
reduced4_AEIM,4,995,A,0.1680898953480548
reduced4_AEIM,4,995,M,0.7527255906494773
reduced4_AEIM,4,36,A,0.08974284752291431
reduced4_AEIM,4,36,M,0.8510607463383713
reduced4_AEIM,4,545,A,0.13630099592812162
reduced4_AEIM,4,545,M,0.8596146633239237
reduced4_AEIM,4,116,A,0.09910295862384741
reduced4_AEIM,4,116,M,0.7437407347511475
reduced4_AEIM,4,434,A,0.09372557923119847
reduced4_AEIM,4,434,M,0.8482393577397571
reduced4_AEIM,4,390,A,0.08533143702182348
reduced4_AEIM,4,390,M,0.7608803369475566
reduced4_AEIM,4,751,A,0.10079625988317543
reduced4_AEIM,4,751,M,0.9269814836606406
reduced5,5,978,A,0.048448818254648814
reduced5,5,978,M,0.8478861921660227
reduced5,5,933,A,0.04689984333384725
reduced5,5,933,M,0.9020590076716152
reduced5,5,859,A,0.04151186023525589
reduced5,5,859,M,0.8394586535953263
reduced5,5,916,A,220809.71393734217
reduced5,5,916,M,1.2255459815912118
reduced5,5,127,A,0.04440828938412344
reduced5,5,127,M,0.9123104787926394
reduced5,5,608,A,0.04179776559840968
reduced5,5,608,M,0.9739537402199077
reduced5,5,856,A,0.02537081826556957
reduced5,5,856,M,0.9187543855697063
reduced5,5,260,A,0.050338727071746255
reduced5,5,260,M,0.9540835037799097
reduced5,5,147,A,0.0309534364615498
reduced5,5,147,M,1.1928242657818338
reduced5,5,810,A,0.04983500125394903
reduced5,5,810,M,0.9966418950043869
reduced5,5,635,A,0.05637244823632245
reduced5,5,635,M,0.83803281514766
reduced5,5,972,A,0.046261210144543
reduced5,5,972,M,1.0301390661422372
reduced5,5,593,A,0.04514361459538129
reduced5,5,593,M,0.9030493246134524
reduced5,5,994,A,0.03579154376087984
reduced5,5,994,M,0.8810593463323962
reduced5,5,285,A,0.04388506787098565
reduced5,5,285,M,0.9375510115229854
reduced5,5,554,A,0.05535036996309688
reduced5,5,554,M,0.9554822465414553
reduced5,5,467,A,0.04169150411426515
reduced5,5,467,M,0.9309721403541507
reduced5,5,276,A,0.029928019436324664
reduced5,5,276,M,0.7946915100383292
reduced5,5,55,A,1345271.9897031784
reduced5,5,55,M,1.210973827286875
reduced5,5,61,A,0.03828092608777114
reduced5,5,61,M,1.0255192883832718
reduced5,5,839,A,0.044746827246628464
reduced5,5,839,M,0.8859228340644104
reduced5,5,425,A,0.05038471443042788
reduced5,5,425,M,0.9832959747512231
reduced5,5,82,A,0.04940112209308367
reduced5,5,82,M,0.9546117343579578
reduced5,5,620,A,0.025465798005767787
reduced5,5,620,M,0.7063493041371445
