scaffold,P,sample_idx,species,nrmse
reduced4_AEIM,4,904,M,0.27587192672878236
reduced4_AEIM,4,324,A,0.03214596591759122
reduced4_AEIM,4,324,M,0.09267291027519972
reduced4_AEIM,4,439,A,0.07578302928894046
reduced4_AEIM,4,439,M,0.129117025431108
reduced4_AEIM,4,650,A,0.05483725218852128
reduced4_AEIM,4,650,M,0.1975596184066661
reduced4_AEIM,4,238,A,0.03253306500985186
reduced4_AEIM,4,238,M,0.1559831450647629
reduced4_AEIM,4,498,A,0.058732380380120096
reduced4_AEIM,4,498,M,0.0877005307598916
reduced4_AEIM,4,806,A,0.0339145344226114
reduced4_AEIM,4,806,M,0.1449927299136175
reduced4_AEIM,4,629,A,0.07057827956068255
reduced4_AEIM,4,629,M,0.2641275479845875
reduced4_AEIM,4,468,A,0.05023485882006977
reduced4_AEIM,4,468,M,0.22952597551770115
reduced4_AEIM,4,343,A,0.030633799834120505
reduced4_AEIM,4,343,M,0.2234544397393748
reduced4_AEIM,4,664,A,0.04406355245062839
reduced4_AEIM,4,664,M,0.19373064643745294
reduced4_AEIM,4,671,A,0.04659994070089175
reduced4_AEIM,4,671,M,0.1549758103859497
reduced4_AEIM,4,652,A,0.0347843054907661
reduced4_AEIM,4,652,M,0.10629458977896555
reduced4_AEIM,4,346,A,0.020581839046237622
reduced4_AEIM,4,346,M,0.0809410036060099
reduced4_AEIM,4,381,A,0.06772360081427856
reduced4_AEIM,4,381,M,0.13266525367611845
reduced4_AEIM,4,493,A,0.06921837896200218
reduced4_AEIM,4,493,M,0.12081590602418767
reduced4_AEIM,4,708,A,0.041527516538677145
reduced4_AEIM,4,708,M,0.10063089302608517
reduced4_AEIM,4,513,A,0.05701725862961877
reduced4_AEIM,4,513,M,0.20006938030506843
reduced4_AEIM,4,563,A,0.05545210077142322
reduced4_AEIM,4,563,M,0.26721425456593345
reduced4_AEIM,4,857,A,0.0434391591584314
reduced4_AEIM,4,857,M,0.11573972483082039
reduced4_AEIM,4,781,A,0.04502690649321726
reduced4_AEIM,4,781,M,0.1287441178798594
reduced4_AEIM,4,135,A,0.09381686530678082
reduced4_AEIM,4,135,M,0.15439023033705107
reduced4_AEIM,4,232,A,0.09376482061254511
reduced4_AEIM,4,232,M,0.17990388085425726
reduced4_AEIM,4,931,A,0.05607999502410754
reduced4_AEIM,4,931,M,0.07003638860744173
reduced4_AEIM,4,426,A,0.05005925342859941
reduced4_AEIM,4,426,M,0.3340188824027655
reduced4_AEIM,4,660,A,0.07046513060513333
reduced4_AEIM,4,660,M,0.051496649397097756
reduced4_AEIM,4,995,A,0.04455974607641122
reduced4_AEIM,4,995,M,0.05936017166753439
reduced4_AEIM,4,36,A,0.10292637849633532
reduced4_AEIM,4,36,M,0.08244934146872536
reduced4_AEIM,4,545,A,0.04296268599761254
reduced4_AEIM,4,545,M,0.18666535744704824
reduced4_AEIM,4,116,A,0.07525562464688397
reduced4_AEIM,4,116,M,0.21035710330088134
reduced4_AEIM,4,434,A,0.061758219849884013
reduced4_AEIM,4,434,M,0.2630443930919009
reduced4_AEIM,4,390,A,0.0911218845360166
reduced4_AEIM,4,390,M,0.09962959822082536
reduced4_AEIM,4,751,A,0.03439895484629741
reduced4_AEIM,4,751,M,0.18416114874200573
reduced5,5,978,A,0.04544412144498378
reduced5,5,978,M,0.07477987838589481
reduced5,5,933,A,0.04594575224742903
reduced5,5,933,M,0.16919362585213332
reduced5,5,859,A,0.05122119194554037
reduced5,5,859,M,0.16066409243767152
reduced5,5,916,A,0.0
reduced5,5,916,M,0.7135409705958236
reduced5,5,127,A,0.04500346876715458
reduced5,5,127,M,0.09355785101975622
reduced5,5,608,A,0.03353261720808666
reduced5,5,608,M,0.24976899164216
reduced5,5,856,A,0.03694584533125522
reduced5,5,856,M,0.4478926234339292
reduced5,5,260,A,0.04688632499167272
reduced5,5,260,M,0.15566136542326472
reduced5,5,147,A,0.02825619397890337
reduced5,5,147,M,0.7104471857902299
reduced5,5,810,A,0.03491588508195741
reduced5,5,810,M,0.28436382266289373
reduced5,5,635,A,0.04751752904573238
reduced5,5,635,M,0.2336271232624697
reduced5,5,972,A,0.03587751399099515
reduced5,5,972,M,0.18089094959663926
reduced5,5,593,A,0.022893075269505885
reduced5,5,593,M,0.13556954137925586
reduced5,5,994,A,0.020449483458659358
reduced5,5,994,M,0.10955323374745485
reduced5,5,285,A,0.03362080597452234
reduced5,5,285,M,0.03362495126782806
reduced5,5,554,A,0.05066360594990799
reduced5,5,554,M,0.1065742409796214
reduced5,5,467,A,0.057219200042059555
reduced5,5,467,M,0.0804774022087791
reduced5,5,276,A,0.017643857556870316
reduced5,5,276,M,0.23417564090035506
reduced5,5,55,A,0.0
reduced5,5,55,M,0.44982676278584927
reduced5,5,61,A,0.02391729593900462
reduced5,5,61,M,0.17885739891050353
reduced5,5,839,A,0.038652479330131925
reduced5,5,839,M,0.07732634724077773
reduced5,5,425,A,0.041915635847551654
reduced5,5,425,M,0.0826975783860327
reduced5,5,82,A,0.051627452337813205
reduced5,5,82,M,0.06506381565007673
reduced5,5,620,A,0.02441022830594167
reduced5,5,620,M,0.6656532289993057
