time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
1.464882946014404297e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.474916362762451172e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.484949874877929688e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.494983291625976562e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.505016708374023438e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.515050125122070312e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.525083637237548828e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.535117053985595703e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.545150470733642578e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.555183982849121094e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
