time,theta_0,theta_1
7.662771606445312500e+01,9.241013526916503906e+00,8.254978805780410767e-02
7.712854766845703125e+01,9.240995407104492188e+00,8.252371847629547119e-02
7.762937927246093750e+01,9.240975379943847656e+00,8.249987661838531494e-02
7.813021850585937500e+01,9.240956306457519531e+00,8.247811347246170044e-02
7.863105010986328125e+01,9.240940093994140625e+00,8.245889097452163696e-02
7.913188934326171875e+01,9.240922927856445312e+00,8.244079351425170898e-02
7.963272094726562500e+01,9.240910530090332031e+00,8.242525160312652588e-02
8.013355255126953125e+01,9.240895271301269531e+00,8.241055905818939209e-02
8.063439178466796875e+01,9.240885734558105469e+00,8.239774405956268311e-02
8.113522338867187500e+01,9.240874290466308594e+00,8.238627761602401733e-02
8.163606262207031250e+01,9.240865707397460938e+00,8.237603306770324707e-02
8.213689422607421875e+01,9.240858078002929688e+00,8.236680179834365845e-02
8.263772583007812500e+01,9.240848541259765625e+00,8.235855400562286377e-02
8.313856506347656250e+01,9.240842819213867188e+00,8.235134929418563843e-02
8.363939666748046875e+01,9.240835189819335938e+00,8.234468102455139160e-02
8.414023590087890625e+01,9.240827560424804688e+00,8.233877271413803101e-02
8.464106750488281250e+01,9.271179199218750000e+00,7.013728469610214233e-02
8.514190673828125000e+01,9.273060798645019531e+00,7.088456302881240845e-02
8.564273834228515625e+01,9.273841857910156250e+00,7.117719948291778564e-02
8.614356994628906250e+01,9.274219512939453125e+00,7.132064551115036011e-02
8.664440917968750000e+01,9.274428367614746094e+00,7.140097767114639282e-02
8.714524078369140625e+01,9.274553298950195312e+00,7.144853472709655762e-02
8.764608001708984375e+01,9.274627685546875000e+00,7.147705554962158203e-02
8.814691162109375000e+01,8.220727920532226562e+00,1.449777126312255859e+00
8.864774322509765625e+01,8.602461814880371094e+00,8.647593855857849121e-01
8.914858245849609375e+01,8.754555702209472656e+00,6.415917873382568359e-01
8.964941406250000000e+01,8.850409507751464844e+00,5.092687606811523438e-01
9.015025329589843750e+01,8.924139976501464844e+00,4.136800467967987061e-01
9.065108489990234375e+01,8.985294342041015625e+00,3.394554853439331055e-01
9.115191650390625000e+01,9.037488937377929688e+00,2.803806364536285400e-01
9.165275573730468750e+01,9.111356735229492188e+00,2.070840299129486084e-01
9.215358734130859375e+01,9.148756980895996094e+00,1.741929501295089722e-01
9.265442657470703125e+01,9.180980682373046875e+00,1.475705504417419434e-01
9.315525817871093750e+01,9.207930564880371094e+00,1.269136369228363037e-01
9.365608978271484375e+01,9.229969978332519531e+00,1.112697795033454895e-01
