time,theta_0,theta_1,theta_2,theta_3
1.292153625488281250e+02,7.988923072814941406e+00,9.116698265075683594e+00,1.642762541770935059e+00,1.256000846624374390e-01
1.297161865234375000e+02,8.034070014953613281e+00,9.111030578613281250e+00,1.535110950469970703e+00,1.288663595914840698e-01
1.302170257568359375e+02,8.068164825439453125e+00,9.105732917785644531e+00,1.453735113143920898e+00,1.320977956056594849e-01
1.307178649902343750e+02,8.094503402709960938e+00,9.100969314575195312e+00,1.391183376312255859e+00,1.351459920406341553e-01
1.312187042236328125e+02,8.801156044006347656e+00,8.049819946289062500e+00,3.059777021408081055e-01,1.783554315567016602e+00
1.317195281982421875e+02,8.636208534240722656e+00,8.559686660766601562e+00,5.422725677490234375e-01,8.642268180847167969e-01
1.322203674316406250e+02,8.505726814270019531e+00,8.725590705871582031e+00,7.128221988677978516e-01,5.760479569435119629e-01
1.327212066650390625e+02,8.436224937438964844e+00,8.809341430664062500e+00,8.105190396308898926e-01,4.508600234985351562e-01
1.332220306396484375e+02,8.399959564208984375e+00,8.858514785766601562e+00,8.647704124450683594e-01,3.853067457675933838e-01
1.337228698730468750e+02,8.377013206481933594e+00,8.893805503845214844e+00,9.006904959678649902e-01,3.420600295066833496e-01
1.342237091064453125e+02,8.359201431274414062e+00,8.922767639160156250e+00,9.291056394577026367e-01,3.086731135845184326e-01
1.347245483398437500e+02,8.343665122985839844e+00,8.948067665100097656e+00,9.538894295692443848e-01,2.809144556522369385e-01
1.352253723144531250e+02,8.329464912414550781e+00,8.970691680908203125e+00,9.763975143432617188e-01,2.571771740913391113e-01
1.357262115478515625e+02,8.316262245178222656e+00,8.991059303283691406e+00,9.971414208412170410e-01,2.366912662982940674e-01
1.362270507812500000e+02,8.303927421569824219e+00,9.009418487548828125e+00,1.016372680664062500e+00,2.189699709415435791e-01
1.367278747558593750e+02,8.292381286621093750e+00,9.025957107543945312e+00,1.034256696701049805e+00,2.036324888467788696e-01
1.372287139892578125e+02,8.281571388244628906e+00,9.040819168090820312e+00,1.050913214683532715e+00,1.903496831655502319e-01
1.377295532226562500e+02,8.271448135375976562e+00,9.054169654846191406e+00,1.066455483436584473e+00,1.788368970155715942e-01
1.382303771972656250e+02,8.261964797973632812e+00,9.066157341003417969e+00,1.080986022949218750e+00,1.688444614410400391e-01
1.387312164306640625e+02,8.253089904785156250e+00,9.076898574829101562e+00,1.094564795494079590e+00,1.601533740758895874e-01
1.392320556640625000e+02,8.244779586791992188e+00,9.086532592773437500e+00,1.107286214828491211e+00,1.525789350271224976e-01
