sample_idx,os_mm,ro_mm,os_pm,ro_pm
318,0.346745,0.008778,nan,nan
319,0.498182,0.019814,0.094375,1.107523
320,0.382724,0.007718,0.765959,0.205798
321,0.372776,0.006617,0.750418,0.245983
322,0.280835,0.009612,0.830664,0.116280
323,0.263058,0.017027,0.820552,0.295678
324,0.237016,0.011427,0.402288,0.718592
325,0.354868,0.018851,0.470269,0.232753
326,0.314144,0.015078,0.675004,0.344691
327,0.254310,0.019621,0.532275,0.588106
328,0.287752,0.003944,0.748482,0.465704
329,0.295402,0.015634,0.059498,0.773106
330,0.328161,0.003309,0.690566,0.256696
331,0.335247,0.026676,0.427267,0.229093
332,0.309110,0.018808,0.793559,0.327176
333,0.306809,0.006856,0.374680,0.193592
334,0.434871,0.002274,0.057964,0.855916
335,0.230171,0.012190,0.697095,0.429948
336,0.277870,0.015599,0.725172,0.449763
337,0.324416,0.016350,0.047352,0.334835
338,0.495214,0.012174,0.622418,0.329507
339,0.262593,0.009954,0.762438,0.423875
340,0.346335,0.016330,0.057818,0.785635
341,0.686014,0.020924,0.681361,0.398097
342,0.389590,0.020258,0.663436,0.617556
343,0.657906,0.017806,0.640805,0.511894
344,0.302635,0.018321,0.551478,0.360960
345,0.604045,0.007228,0.087351,1.074692
346,0.249358,0.023337,0.800604,0.476468
347,0.268277,0.010928,0.790118,0.446336
348,0.508297,0.008077,0.616649,0.393161
349,0.321526,0.011914,0.644599,0.590711
350,0.349971,0.017522,0.694415,0.539212
351,0.339073,0.014371,0.685282,0.465896
352,0.281135,0.013832,0.632702,0.520726
353,0.280735,0.010089,0.630668,0.519508
354,0.361487,0.006299,0.635749,0.420104
355,0.369143,0.004951,0.611436,0.403533
356,0.369628,0.006221,0.624083,0.425156
357,0.366260,0.005071,0.609458,0.436949
358,0.289373,0.021208,0.616922,0.579357
359,0.399062,0.020982,0.611159,0.550967
360,0.438626,0.021242,0.596177,0.504899
361,0.410935,0.014308,0.608233,0.525753
362,0.417736,0.026985,0.590846,0.534793
363,0.454062,0.022068,0.591103,0.518087
364,0.442449,0.020369,0.633436,0.504349
365,0.708023,0.019651,0.127016,1.518892
366,0.485182,0.007081,0.632751,0.300965
367,0.557517,0.005879,0.631984,0.201478
368,0.459042,0.007252,0.548596,0.213968
369,0.412315,0.007776,0.565705,0.233870
370,0.257940,0.010470,0.783133,0.491059
371,0.232174,0.011264,0.778083,0.499738
372,0.794707,0.007000,0.084897,0.931665
373,0.777667,0.007816,0.077410,0.491579
374,0.320684,0.014746,0.686202,0.307088
375,0.155776,0.022599,0.736418,0.690583
376,0.171321,0.010860,0.739964,0.698510
377,0.142092,0.015804,0.718000,0.675700
378,0.153076,0.024338,0.730084,0.704485
379,0.144644,0.019297,0.729033,0.692840
