time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
1.984924674034118652e+00,9.989711456000804901e-03,4.472345411777496338e-01,1.003894396126270294e-02,9.884916245937347412e-03,1.001029182225465775e-02,9.892564266920089722e-03,8.848258294165134430e-03,9.658285416662693024e-04
2.010050296783447266e+00,9.990378282964229584e-03,4.472332000732421875e-01,1.003728248178958893e-02,9.893012233078479767e-03,1.000955607742071152e-02,9.900090284645557404e-03,8.864715695381164551e-03,9.680477087385952473e-04
2.035175800323486328e+00,9.990978054702281952e-03,4.472320079803466797e-01,1.003587525337934494e-02,9.900378994643688202e-03,1.000891719013452530e-02,9.906754828989505768e-03,8.875886909663677216e-03,9.700702503323554993e-04
2.060301542282104492e+00,9.991507045924663544e-03,4.472309052944183350e-01,1.003464590758085251e-02,9.907113388180732727e-03,1.000834442675113678e-02,9.912689216434955597e-03,8.883588947355747223e-03,9.719106601551175117e-04
2.085427045822143555e+00,9.992026723921298981e-03,4.472298324108123779e-01,1.003351621329784393e-02,9.913682006299495697e-03,1.000780053436756134e-02,9.918334893882274628e-03,8.888423442840576172e-03,9.736928623169660568e-04
2.110552787780761719e+00,9.992427192628383636e-03,4.472290575504302979e-01,1.003266964107751846e-02,9.918835945427417755e-03,1.000738050788640976e-02,9.922686964273452759e-03,8.890508674085140228e-03,9.750923491083085537e-04
2.135678291320800781e+00,9.992898441851139069e-03,4.472281038761138916e-01,1.003171317279338837e-02,9.924967773258686066e-03,1.000689342617988586e-02,9.927745908498764038e-03,8.891314268112182617e-03,9.767839219421148300e-04
2.160804033279418945e+00,9.993141517043113708e-03,4.472275376319885254e-01,1.003122515976428986e-02,9.928214363753795624e-03,1.000664010643959045e-02,9.930388070642948151e-03,8.890525437891483307e-03,9.776608785614371300e-04
2.185929536819458008e+00,9.993565268814563751e-03,4.472267627716064453e-01,1.003041677176952362e-02,9.933783672749996185e-03,1.000621169805526733e-02,9.934844449162483215e-03,8.889385499060153961e-03,9.792135097086429596e-04
2.211055278778076172e+00,9.993861429393291473e-03,4.472261071205139160e-01,1.002989523112773895e-02,9.937587194144725800e-03,1.000592485070228577e-02,9.937833994626998901e-03,8.887079544365406036e-03,9.802539134398102760e-04
2.236181020736694336e+00,9.994046762585639954e-03,4.472256600856781006e-01,1.002953201532363892e-02,9.940151125192642212e-03,1.000572461634874344e-02,9.939867071807384491e-03,8.885397575795650482e-03,9.809680050238966942e-04
2.261306524276733398e+00,9.994437918066978455e-03,4.472250044345855713e-01,1.002888195216655731e-02,9.945158846676349640e-03,1.000536233186721802e-02,9.943717159330844879e-03,8.882055059075355530e-03,9.823961881920695305e-04
