time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
1.231155753135681152e+00,2.734092175960540771e-01,2.888069152832031250e-01,9.922427177429199219e+00,3.192272186279296875e+00,9.936896324157714844e+00,5.938883623457513750e-05,4.988163471221923828e+00,5.787533154943957925e-06
1.256281375885009766e+00,2.613184452056884766e-01,2.895351350307464600e-01,9.911457061767578125e+00,3.082669973373413086e+00,9.936697959899902344e+00,5.952013452770188451e-05,5.066285133361816406e+00,5.793900527351070195e-06
1.281406998634338379e+00,2.452662289142608643e-01,2.814040780067443848e-01,9.902679443359375000e+00,2.977571487426757812e+00,9.936185836791992188e+00,5.967264951323159039e-05,5.149283409118652344e+00,5.800839062430895865e-06
1.306532621383666992e+00,2.183753401041030884e-01,2.456621378660202026e-01,9.893438339233398438e+00,2.876335859298706055e+00,9.935323715209960938e+00,5.984435847494751215e-05,5.235872268676757812e+00,5.808614332636352628e-06
1.331658244132995605e+00,2.247171849012374878e-01,2.398661673069000244e-01,8.626773834228515625e+00,2.556295633316040039e+00,9.935893058776855469e+00,5.933538704994134605e-05,4.514568805694580078e+00,5.823705123475519940e-06
1.356783866882324219e+00,3.149709999561309814e-01,2.222923040390014648e-01,8.653986733406782150e-04,9.775224924087524414e-01,9.935598373413085938e+00,5.934328873991034925e-05,1.743801694829016924e-04,5.831800990563351661e-06
1.381909489631652832e+00,3.094629943370819092e-01,2.233171910047531128e-01,1.055803149938583374e-03,9.458610415458679199e-01,9.935712814331054688e+00,5.951687489869073033e-05,1.115222112275660038e-04,5.835419415234355256e-06
1.407035231590270996e+00,3.037838339805603027e-01,2.243425399065017700e-01,1.395581522956490517e-03,9.135655760765075684e-01,9.935826301574707031e+00,5.972736835246905684e-05,9.374200453748926520e-05,5.839181085320888087e-06
1.432160854339599609e+00,2.980354130268096924e-01,2.254407852888107300e-01,2.031031530350446701e-03,8.823670148849487305e-01,9.935939788818359375e+00,5.996893742121756077e-05,8.506885205861181021e-05,5.843045528308721259e-06
1.457286477088928223e+00,6.115062236785888672e-01,3.574882447719573975e-01,9.883931159973144531e+00,2.459256410598754883e+00,9.937323570251464844e+00,5.751335993409156799e-05,1.034211672958917916e-04,5.894299192732432857e-06
1.482412099838256836e+00,6.132079362869262695e-01,2.951974570751190186e-01,9.884223937988281250e+00,2.417892217636108398e+00,9.931364059448242188e+00,5.621221862384118140e-05,1.203121428261511028e-04,5.975264684821013361e-06
1.507537722587585449e+00,3.573366701602935791e-01,2.103533595800399780e-01,9.862407684326171875e+00,2.279604434967041016e+00,9.939342498779296875e+00,5.799836799269542098e-05,1.127539396286010742e+00,6.038358606019755825e-06
1.532663345336914062e+00,2.294023185968399048e-01,2.725145518779754639e-01,9.895381927490234375e+00,2.194799184799194336e+00,9.935712814331054688e+00,5.964298907201737165e-05,5.062846660614013672e+00,6.058846793166594580e-06
1.557788968086242676e+00,1.903499513864517212e-01,2.690572440624237061e-01,9.893569946289062500e+00,2.109347343444824219e+00,9.934584617614746094e+00,6.003314047120511532e-05,5.143948078155517578e+00,6.078829756006598473e-06
1.582914590835571289e+00,1.666704267263412476e-01,2.631095349788665771e-01,9.787898063659667969e+00,2.012405872344970703e+00,9.933770179748535156e+00,6.020217188051901758e-05,5.153424739837646484e+00,6.092484454711666331e-06
1.608040213584899902e+00,2.569350600242614746e-01,2.418664246797561646e-01,1.464129209518432617e+00,8.615325689315795898e-01,9.934632301330566406e+00,5.967674587736837566e-05,3.382997529115527868e-04,6.107544322730973363e-06
1.633165836334228516e+00,2.508893609046936035e-01,2.446741610765457153e-01,2.460192423313856125e-03,6.520913243293762207e-01,9.934225082397460938e+00,5.983471783110871911e-05,2.092831127811223269e-04,6.108953584771370515e-06
1.658291459083557129e+00,2.454613596200942993e-01,2.461343258619308472e-01,1.172780897468328476e-02,6.280323863029479980e-01,9.934376716613769531e+00,6.000420762575231493e-05,1.396117586409673095e-04,6.110238700784975663e-06
1.683417081832885742e+00,2.396863251924514771e-01,2.477803677320480347e-01,9.173905849456787109e-01,7.275409102439880371e-01,9.934536933898925781e+00,6.019733700668439269e-05,1.162104454124346375e-04,6.111834409239236265e-06
