time,theta_0,theta_1
5.909849929809570312e+01,8.887827873229980469e+00,2.108463495969772339e-01
5.959933090209960938e+01,8.906262397766113281e+00,1.952097713947296143e-01
6.010016632080078125e+01,8.920843124389648438e+00,1.835725903511047363e-01
6.060100173950195312e+01,8.932589530944824219e+00,1.747224032878875732e-01
6.110183715820312500e+01,8.942209243774414062e+00,1.678597778081893921e-01
6.160267257690429688e+01,8.950221061706542969e+00,1.624456346035003662e-01
6.210350418090820312e+01,8.956987380981445312e+00,1.581076681613922119e-01
6.260433959960937500e+01,8.962783813476562500e+00,1.545835435390472412e-01
6.310517501831054688e+01,8.967803955078125000e+00,1.516835838556289673e-01
6.360601043701171875e+01,8.972201347351074219e+00,1.492706686258316040e-01
6.410684204101562500e+01,8.976084709167480469e+00,1.472406387329101562e-01
6.460768127441406250e+01,9.017062187194824219e+00,1.360006928443908691e-01
6.510851287841796875e+01,9.009258270263671875e+00,1.385620832443237305e-01
6.560935211181640625e+01,9.008374214172363281e+00,1.361732482910156250e-01
6.611018371582031250e+01,9.009233474731445312e+00,1.348826289176940918e-01
6.661101531982421875e+01,9.010539054870605469e+00,1.339521110057830811e-01
6.711185455322265625e+01,9.011987686157226562e+00,1.331704705953598022e-01
6.761268615722656250e+01,9.013464927673339844e+00,1.324829459190368652e-01
6.811352539062500000e+01,9.014905929565429688e+00,1.318707615137100220e-01
6.861435699462890625e+01,9.016278266906738281e+00,1.313227713108062744e-01
6.911518859863281250e+01,9.017565727233886719e+00,1.308307647705078125e-01
6.961602783203125000e+01,9.018767356872558594e+00,1.303885430097579956e-01
7.011685943603515625e+01,9.019878387451171875e+00,1.299901306629180908e-01
7.061769866943359375e+01,9.101745605468750000e+00,1.084539517760276794e-01
7.111853027343750000e+01,9.079275131225585938e+00,1.129892840981483459e-01
7.161936187744140625e+01,9.071186065673828125e+00,1.141986623406410217e-01
7.212020111083984375e+01,9.068064689636230469e+00,1.146640181541442871e-01
7.262103271484375000e+01,9.066666603088378906e+00,1.148579940199851990e-01
7.312187194824218750e+01,9.066058158874511719e+00,1.149126663804054260e-01
7.362270355224609375e+01,9.065864562988281250e+00,1.148930639028549194e-01
7.412354278564453125e+01,9.065902709960937500e+00,1.148336306214332581e-01
7.462437438964843750e+01,9.066063880920410156e+00,1.147553324699401855e-01
7.512520599365234375e+01,9.066286087036132812e+00,1.146687194705009460e-01
7.562604522705078125e+01,9.066534042358398438e+00,1.145816892385482788e-01
7.612687683105468750e+01,9.066791534423828125e+00,1.144984439015388489e-01
7.662771606445312500e+01,9.067037582397460938e+00,1.144190803170204163e-01
7.712854766845703125e+01,9.067272186279296875e+00,1.143454909324645996e-01
7.762937927246093750e+01,9.067492485046386719e+00,1.142779737710952759e-01
7.813021850585937500e+01,9.067691802978515625e+00,1.142166331410408020e-01
7.863105010986328125e+01,9.067875862121582031e+00,1.141611933708190918e-01
7.913188934326171875e+01,9.068041801452636719e+00,1.141106262803077698e-01
7.963272094726562500e+01,9.068195343017578125e+00,1.140653043985366821e-01
8.013355255126953125e+01,9.068331718444824219e+00,1.140244454145431519e-01
8.063439178466796875e+01,9.068454742431640625e+00,1.139873042702674866e-01
8.113522338867187500e+01,9.068566322326660156e+00,1.139543205499649048e-01
8.163606262207031250e+01,9.068665504455566406e+00,1.139245182275772095e-01
8.213689422607421875e+01,9.068754196166992188e+00,1.138978898525238037e-01
8.263772583007812500e+01,9.068835258483886719e+00,1.138740554451942444e-01
8.313856506347656250e+01,9.068909645080566406e+00,1.138524115085601807e-01
8.363939666748046875e+01,9.068973541259765625e+00,1.138333752751350403e-01
8.414023590087890625e+01,9.069031715393066406e+00,1.138160377740859985e-01
8.464106750488281250e+01,9.129083633422851562e+00,9.736046195030212402e-02
8.514190673828125000e+01,9.116170883178710938e+00,1.013522222638130188e-01
8.564273834228515625e+01,9.105372428894042969e+00,1.033978834748268127e-01
8.614356994628906250e+01,9.101305961608886719e+00,1.042118594050407410e-01
8.664440917968750000e+01,9.099321365356445312e+00,1.046345382928848267e-01
8.714524078369140625e+01,9.098217010498046875e+00,1.048772558569908142e-01
8.764608001708984375e+01,9.097565650939941406e+00,1.050200015306472778e-01
8.814691162109375000e+01,7.506438732147216797e+00,2.471130609512329102e+00
8.864774322509765625e+01,8.050108909606933594e+00,1.608484268188476562e+00
8.914858245849609375e+01,8.239353179931640625e+00,1.282516598701477051e+00
8.964941406250000000e+01,8.375494956970214844e+00,1.050677061080932617e+00
9.015025329589843750e+01,8.485906600952148438e+00,8.672907352447509766e-01
9.065108489990234375e+01,8.579890251159667969e+00,7.166003584861755371e-01
9.115191650390625000e+01,8.661533355712890625e+00,5.915582180023193359e-01
9.165275573730468750e+01,8.813731193542480469e+00,4.073436260223388672e-01
9.215358734130859375e+01,8.848958969116210938e+00,3.527587950229644775e-01
9.265442657470703125e+01,8.893603324890136719e+00,2.963354587554931641e-01
9.315525817871093750e+01,8.935999870300292969e+00,2.486503124237060547e-01
9.365608978271484375e+01,8.972371101379394531e+00,2.116018086671829224e-01
9.415692901611328125e+01,9.002012252807617188e+00,1.839970499277114868e-01
9.465776062011718750e+01,9.025540351867675781e+00,1.637339442968368530e-01
9.515859985351562500e+01,9.044030189514160156e+00,1.488305032253265381e-01
9.565943145751953125e+01,9.058558464050292969e+00,1.377522498369216919e-01
9.616027069091796875e+01,9.070032119750976562e+00,1.294031888246536255e-01
9.666110229492187500e+01,9.079162597656250000e+00,1.230190172791481018e-01
9.716193389892578125e+01,9.086502075195312500e+00,1.180698573589324951e-01
9.766277313232421875e+01,9.092459678649902344e+00,1.141821369528770447e-01
9.816360473632812500e+01,9.097352027893066406e+00,1.110937446355819702e-01
9.866444396972656250e+01,9.101416587829589844e+00,1.086117774248123169e-01
9.916527557373046875e+01,9.104828834533691406e+00,1.065975427627563477e-01
