time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10
1.432387237548828125e+02,6.195871829986572266e+00,7.949963092803955078e+00,8.882097244262695312e+00,2.376289069652557373e-01,6.190956592559814453e+00,5.334066390991210938e+00,3.595207691192626953e+00,1.189380526542663574e+00,5.487339496612548828e-01,3.975696325302124023e+00,4.946566581726074219e+00
1.437395629882812500e+02,6.078664302825927734e+00,7.869111537933349609e+00,8.857083320617675781e+00,2.333770543336868286e-01,6.178914070129394531e+00,5.328285217285156250e+00,3.764816761016845703e+00,1.299368739128112793e+00,5.330858230590820312e-01,3.987915515899658203e+00,4.950302600860595703e+00
1.442404022216796875e+02,5.970839500427246094e+00,7.782608032226562500e+00,8.827102661132812500e+00,2.283725142478942871e-01,6.171859264373779297e+00,5.325085639953613281e+00,3.913033723831176758e+00,1.420730352401733398e+00,5.211522579193115234e-01,3.995018243789672852e+00,4.952263832092285156e+00
1.447412414550781250e+02,5.871074676513671875e+00,7.687481880187988281e+00,8.790894508361816406e+00,2.229496091604232788e-01,6.167951107025146484e+00,5.323304176330566406e+00,4.039648532867431641e+00,1.548951029777526855e+00,5.128618478775024414e-01,3.998930215835571289e+00,4.953347682952880859e+00
1.452420654296875000e+02,5.778627872467041016e+00,7.581590175628662109e+00,8.747454643249511719e+00,2.176302820444107056e-01,6.165948867797851562e+00,5.322344303131103516e+00,4.145750045776367188e+00,1.678515911102294922e+00,5.083162784576416016e-01,4.000916957855224609e+00,4.953937530517578125e+00
1.457429046630859375e+02,5.695651054382324219e+00,7.469193935394287109e+00,8.698056221008300781e+00,2.130562961101531982e-01,6.165077686309814453e+00,5.321877956390380859e+00,4.234889507293701172e+00,1.806549549102783203e+00,5.081163048744201660e-01,4.001767635345458984e+00,4.954246044158935547e+00
1.462437438964843750e+02,5.622019767761230469e+00,7.352463245391845703e+00,8.642790794372558594e+00,2.100319862365722656e-01,6.164860248565673828e+00,5.321690082550048828e+00,4.309296607971191406e+00,1.931028008460998535e+00,5.130667686462402344e-01,4.001961708068847656e+00,4.954385280609130859e+00
1.467445678710937500e+02,5.557956218719482422e+00,7.235408782958984375e+00,8.582577705383300781e+00,2.094074189662933350e-01,6.165006160736083984e+00,5.321664810180664062e+00,4.371897697448730469e+00,2.051545619964599609e+00,5.245929956436157227e-01,4.001788616180419922e+00,4.954422950744628906e+00
1.472454071044921875e+02,5.503741264343261719e+00,7.123344898223876953e+00,8.519349098205566406e+00,2.120627313852310181e-01,6.165349483489990234e+00,5.321735382080078125e+00,4.425609588623046875e+00,2.169304609298706055e+00,5.449548959732055664e-01,4.001420497894287109e+00,4.954409122467041016e+00
1.477462463378906250e+02,5.457602024078369141e+00,7.016508102416992188e+00,8.452439308166503906e+00,2.190955579280853271e-01,6.165785312652587891e+00,5.321848392486572266e+00,4.471814155578613281e+00,2.285060644149780273e+00,5.771955251693725586e-01,4.000961303710937500e+00,4.954365253448486328e+00
1.482470855712890625e+02,5.418457031250000000e+00,6.916029453277587891e+00,8.381263732910156250e+00,2.320031076669692993e-01,6.166253089904785156e+00,5.321981906890869141e+00,4.512266159057617188e+00,2.400974512100219727e+00,6.262367367744445801e-01,4.000470638275146484e+00,4.954305648803710938e+00
1.487479095458984375e+02,5.384792804718017578e+00,6.820766925811767578e+00,8.303362846374511719e+00,2.532522082328796387e-01,6.166718959808349609e+00,5.322121620178222656e+00,4.548404693603515625e+00,2.520106077194213867e+00,7.002680301666259766e-01,3.999980926513671875e+00,4.954236984252929688e+00
1.492487487792968750e+02,5.355764865875244141e+00,6.730525016784667969e+00,8.215542793273925781e+00,2.873767614364624023e-01,6.167166233062744141e+00,5.322263240814208984e+00,4.582158565521240234e+00,2.648508787155151367e+00,8.147653937339782715e-01,3.999512672424316406e+00,4.954172134399414062e+00
1.497495880126953125e+02,5.329412937164306641e+00,6.640074253082275391e+00,8.108558654785156250e+00,3.437447845935821533e-01,6.167587757110595703e+00,5.322396755218505859e+00,4.615347862243652344e+00,2.795581817626953125e+00,1.000161528587341309e+00,3.999070167541503906e+00,4.954105854034423828e+00
1.502504119873046875e+02,5.303853511810302734e+00,6.542352199554443359e+00,7.965480804443359375e+00,4.434129893779754639e-01,6.167978763580322266e+00,5.322520732879638672e+00,4.651110172271728516e+00,2.979841470718383789e+00,1.321094870567321777e+00,3.998658657073974609e+00,4.954038619995117188e+00
1.507512512207031250e+02,5.276469230651855469e+00,6.424983978271484375e+00,7.754580020904541016e+00,6.353763937950134277e-01,6.168341159820556641e+00,5.322644233703613281e+00,4.694429397583007812e+00,3.233052015304565430e+00,1.898191928863525391e+00,3.998272418975830078e+00,4.953977108001708984e+00
1.512520904541015625e+02,5.243093490600585938e+00,6.268455028533935547e+00,7.437960624694824219e+00,1.008760094642639160e+00,6.168673992156982422e+00,5.322758197784423828e+00,4.748561382293701172e+00,3.574395418167114258e+00,2.792186021804809570e+00,3.997916936874389648e+00,4.953913688659667969e+00
1.517529144287109375e+02,5.203405380249023438e+00,6.073686122894287109e+00,7.038403034210205078e+00,1.619335532188415527e+00,6.168968200683593750e+00,5.322857856750488281e+00,4.806750774383544922e+00,3.944672107696533203e+00,3.703839302062988281e+00,3.997602939605712891e+00,4.953855991363525391e+00
1.522537536621093750e+02,5.163168430328369141e+00,5.872045040130615234e+00,6.640562057495117188e+00,2.354735136032104492e+00,6.169217586517333984e+00,5.322944641113281250e+00,4.856774330139160156e+00,4.249834060668945312e+00,4.307123661041259766e+00,3.997342586517333984e+00,4.953814506530761719e+00
1.527545928955078125e+02,5.127707481384277344e+00,5.691167354583740234e+00,6.297130584716796875e+00,3.023155927658081055e+00,6.169426441192626953e+00,5.323013305664062500e+00,4.894148826599121094e+00,4.464400768280029297e+00,4.628652572631835938e+00,3.997130393981933594e+00,4.953782081604003906e+00
1.532554321289062500e+02,5.098908901214599609e+00,5.541406631469726562e+00,6.017466068267822266e+00,3.541202306747436523e+00,6.169607162475585938e+00,5.323070526123046875e+00,4.921222209930419922e+00,4.611128330230712891e+00,4.795246124267578125e+00,3.996948242187500000e+00,4.953755855560302734e+00
1.537562561035156250e+02,5.076303958892822266e+00,5.421703338623046875e+00,5.794503211975097656e+00,3.919028282165527344e+00,6.169764995574951172e+00,5.323115825653076172e+00,4.941019058227539062e+00,4.713697433471679688e+00,4.885218143463134766e+00,3.996788740158081055e+00,4.953734397888183594e+00
