time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
6.180000000000000000e+03,1.015113866742467508e-06,1.110849325414164923e-06,1.192365512251853943e-01,6.526676937937736511e-03,7.947132736444473267e-02,3.464253968559205532e-04,5.943371434113942087e-05
6.240000000000000000e+03,1.061490365827921778e-06,1.160563442681450397e-06,2.149597567040473223e-04,9.731251746416091919e-03,7.929734885692596436e-02,3.449975629337131977e-04,6.165765807963907719e-05
6.300000000000000000e+03,1.946326847246382385e-05,4.931243602186441422e-04,4.027307033538818359e-03,7.780489977449178696e-05,6.943558400962501764e-05,1.053098276315722615e-05,9.467072086408734322e-04
6.360000000000000000e+03,4.327321366872638464e-04,4.931219737045466900e-04,3.357710666023194790e-04,2.011869568377733231e-03,7.071829895721748471e-05,1.053137293638428673e-05,1.470657589379698038e-04
6.420000000000000000e+03,4.292212834116071463e-04,4.931198782287538052e-04,3.430885553825646639e-04,1.822941820137202740e-03,7.064895908115431666e-05,1.053168853104580194e-05,1.505173277109861374e-04
6.480000000000000000e+03,4.252911603543907404e-04,4.931177827529609203e-04,3.501703031361103058e-04,1.666494412347674370e-03,7.059444033075124025e-05,1.053199866873910651e-05,1.538169162813574076e-04
6.540000000000000000e+03,4.208835016470402479e-04,4.931153962388634682e-04,3.570957633201032877e-04,1.534912735223770142e-03,7.055101741570979357e-05,1.053230516845360398e-05,1.570008462294936180e-04
6.600000000000000000e+03,4.159302625339478254e-04,4.931137664243578911e-04,3.639252681750804186e-04,1.422772998921573162e-03,7.051597640383988619e-05,1.053259984473697841e-05,1.600951800355687737e-04
6.660000000000000000e+03,4.103573737666010857e-04,4.931113799102604389e-04,3.707039577420800924e-04,1.326134195551276207e-03,7.048752013361081481e-05,1.053288815455744043e-05,1.631197228562086821e-04
6.720000000000000000e+03,2.357169933020486496e-06,4.931097500957548618e-04,4.176905751228332520e-02,4.700749923358671367e-05,6.719076191075146198e-05,1.053316918842028826e-05,1.915428671054542065e-03
6.780000000000000000e+03,4.286841722205281258e-04,4.931071307510137558e-04,4.218925605528056622e-04,8.689120877534151077e-04,7.027651008684188128e-05,1.053352298185927793e-05,1.856206945376470685e-04
