time,theta_0,theta_1,theta_2,theta_3
1.031719512939453125e+02,8.364804267883300781e+00,9.301539421081542969e+00,1.175203680992126465e+00,7.087845355272293091e-02
1.036727905273437500e+02,8.364515304565429688e+00,9.302041053771972656e+00,1.175701141357421875e+00,7.062804698944091797e-02
1.041736221313476562e+02,8.364253044128417969e+00,9.302486419677734375e+00,1.176152467727661133e+00,7.040811330080032349e-02
1.046744537353515625e+02,8.364024162292480469e+00,9.302879333496093750e+00,1.176544308662414551e+00,7.021518051624298096e-02
1.051752929687500000e+02,8.363827705383300781e+00,9.303219795227050781e+00,1.176880359649658203e+00,7.004493474960327148e-02
1.056761245727539062e+02,8.363646507263183594e+00,9.303527832031250000e+00,1.177189350128173828e+00,6.989569962024688721e-02
1.061769638061523438e+02,8.363494873046875000e+00,9.303792953491210938e+00,1.177455186843872070e+00,6.976431608200073242e-02
1.066777954101562500e+02,8.363351821899414062e+00,9.304029464721679688e+00,1.177698373794555664e+00,6.964850425720214844e-02
1.071786346435546875e+02,8.363235473632812500e+00,9.304236412048339844e+00,1.177899360656738281e+00,6.954672187566757202e-02
1.076794662475585938e+02,8.363124847412109375e+00,9.304420471191406250e+00,1.178093314170837402e+00,6.945705413818359375e-02
1.081802978515625000e+02,8.363029479980468750e+00,9.304581642150878906e+00,1.178255081176757812e+00,6.937827914953231812e-02
1.086811370849609375e+02,8.362950325012207031e+00,9.304723739624023438e+00,1.178391098976135254e+00,6.930863857269287109e-02
1.091819686889648438e+02,8.362872123718261719e+00,9.304849624633789062e+00,1.178523421287536621e+00,6.924743205308914185e-02
1.096828079223632812e+02,8.362812995910644531e+00,9.304959297180175781e+00,1.178629636764526367e+00,6.919322162866592407e-02
1.101836395263671875e+02,8.362748146057128906e+00,9.305059432983398438e+00,1.178732991218566895e+00,6.914577633142471313e-02
1.106844711303710938e+02,8.362700462341308594e+00,9.305144309997558594e+00,1.178822517395019531e+00,6.910380721092224121e-02
1.111853103637695312e+02,8.362660408020019531e+00,9.305217742919921875e+00,1.178888201713562012e+00,6.906665861606597900e-02
1.116861419677734375e+02,8.362615585327148438e+00,9.305286407470703125e+00,1.178967595100402832e+00,6.903415918350219727e-02
1.121869812011718750e+02,8.362585067749023438e+00,9.305344581604003906e+00,1.179016947746276855e+00,6.900545954704284668e-02
1.126878128051757812e+02,8.362549781799316406e+00,9.305398941040039062e+00,1.179075360298156738e+00,6.898009032011032104e-02
1.131886444091796875e+02,8.362525939941406250e+00,9.305442810058593750e+00,1.179118990898132324e+00,6.895800679922103882e-02
1.136894836425781250e+02,8.362504959106445312e+00,9.305482864379882812e+00,1.179160594940185547e+00,6.893805414438247681e-02
1.141903152465820312e+02,8.362480163574218750e+00,9.305519104003906250e+00,1.179198622703552246e+00,6.892070174217224121e-02
1.146911544799804688e+02,8.362465858459472656e+00,9.305550575256347656e+00,1.179222583770751953e+00,6.890526413917541504e-02
1.151919860839843750e+02,8.362444877624511719e+00,9.305580139160156250e+00,1.179258823394775391e+00,6.889191269874572754e-02
