time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
9.832776069641113281e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.446766614913940430e-01,4.460396468639373779e-01,1.001736894249916077e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066457271575927734e-01,7.195685505867004395e-01
9.933110237121582031e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.446550846099853516e-01,4.460145533084869385e-01,1.001787558197975159e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066422700881958008e-01,7.196590900421142578e-01
1.003344440460205078e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.446333885192871094e-01,4.459892213344573975e-01,1.001838594675064087e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066391706466674805e-01,7.197493910789489746e-01
1.013377952575683594e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.446116328239440918e-01,4.459598958492279053e-01,1.001896411180496216e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066358923912048340e-01,7.198399305343627930e-01
1.023411369323730469e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.445900559425354004e-01,4.459343552589416504e-01,1.001949459314346313e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066325545310974121e-01,7.199297547340393066e-01
1.033444786071777344e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.445685982704162598e-01,4.459088444709777832e-01,1.002002507448196411e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066292166709899902e-01,7.200190424919128418e-01
1.043478298187255859e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.445473194122314453e-01,4.458830058574676514e-01,1.002056449651718140e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066258788108825684e-01,7.201085090637207031e-01
1.053511714935302734e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.445260405540466309e-01,4.458528161048889160e-01,1.002117618918418884e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066226601600646973e-01,7.201974987983703613e-01
1.063545131683349609e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.445047020912170410e-01,4.458267390727996826e-01,1.002172604203224182e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066195011138916016e-01,7.202863097190856934e-01
1.073578548431396484e+01,2.236068248748779297e+00,4.472136199474334717e-01,5.444836020469665527e-01,4.458006620407104492e-01,1.002227962017059326e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066164016723632812e-01,7.203747630119323730e-01
