experiment,label,P,sample_idx,species,nrmse
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,201,A,0.02652018687871744
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,201,M,0.01965093110011451
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,430,A,0.03396806913486679
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,430,M,0.018268161364654742
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,436,A,0.029747338048125627
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,436,M,0.01209865606046464
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,649,A,0.039505866248154685
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,649,M,0.0189233421555362
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,695,A,3194981.4409017563
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,695,M,0.013897052254800538
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,767,A,0.04684925289433531
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,767,M,0.0153510461479138
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,855,A,0.03405897840891874
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,855,M,0.01930187574151601
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,85,A,0.04502824281034452
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,85,M,0.21416723148156855
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,88,A,0.037514328654796696
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,88,M,0.22648675063915563
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,94,A,2586767.077445984
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,94,M,0.17101283312097795
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,201,A,0.022337597839414223
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,201,M,0.1845956907376462
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,430,A,0.02618068580552055
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,430,M,0.19571693100394494
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,436,A,0.029515474318736565
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,436,M,0.21573771478537393
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,649,A,0.03236842623014738
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,649,M,0.23452466493880308
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,695,A,2786992.3040270805
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,695,M,0.18907492672012716
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,767,A,0.040927138214362765
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,767,M,0.214476584510797
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,855,A,0.026561658946373606
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,855,M,0.19841800398435364
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,85,A,0.04751522985063857
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,85,M,0.004404023574273597
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,88,A,0.047889893352457344
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,88,M,0.004857814630386934
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,94,A,1462224.591523409
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,94,M,0.004283011822475651
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,201,A,0.02558919219694892
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,201,M,0.006825547137057197
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,430,A,0.03779647993192832
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,430,M,0.004283173481855608
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,436,A,0.016332460129319753
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,436,M,0.005093370872902172
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,649,A,0.04303089034500567
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,649,M,0.005193102417710668
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,695,A,705750.5659759045
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,695,M,0.0053106209720228635
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,767,A,0.037181328540054556
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,767,M,0.0035559078378300385
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,855,A,0.03817850198549158
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,855,M,0.005093013215418188
