sample_idx,scaffold,nrmse_mm_rollout,nrmse_pm_rollout,r2_mm_timeseries,r2_pm_timeseries,peak_mm_true,peak_mm_pred,endpoint_pm_true,endpoint_pm_pred
72,maturation,0.019013472,0.0069564,0.98358583,0.9996759,32.0,31.999983,1448.0,1471.3223
73,maturation,0.033500478,0.016055815,0.9651215,0.9982843,18.0,17.999968,1615.5,1624.7753
74,maturation,0.031197974,0.010268912,0.96526015,0.99924684,20.0,19.999956,1329.0,1371.694
75,maturation,0.02320798,0.09177167,0.98557687,0.94312763,27.0,26.999914,506.0,645.18835
76,maturation,0.007983032,0.6875752,0.99916077,-2.9849863,66.0,65.99998,109.5,314.2159
77,maturation,0.036012676,0.020474743,0.9649683,0.997167,15.0,14.999984,973.5,1034.9963
78,maturation,0.021182014,0.026190998,0.9917042,0.9950929,31.0,31.000004,1181.5,1309.2076
79,maturation,0.013432786,0.072534874,0.99699676,0.96543443,49.0,49.000004,1173.5,1468.4703
80,maturation,0.01157686,0.077913,0.997957,0.9599069,50.0,50.0,1210.5,1538.3378
81,maturation,0.027363235,0.08444393,0.98423886,0.95119464,21.0,21.000004,647.0,809.8951
82,maturation,0.013104044,0.15248138,0.99292606,0.84235924,43.0,42.99988,331.5,470.1177
83,maturation,0.029745901,0.17897674,0.98460793,0.7790174,20.0,20.000006,364.0,548.34094
84,maturation,0.015365183,0.49332178,0.9973617,-1.0011902,43.0,42.999977,79.0,185.90134
85,maturation,0.008973438,7.046833,0.9991799,-3475.7305,225.0,219.85007,0.0,235.23753
86,maturation,0.015659045,0.22906674,0.9970995,0.57686937,15.0,15.000002,252.5,409.72546
87,maturation,0.015476791,0.06558342,0.99472135,0.97244376,14.0,13.999985,402.5,469.59863
88,maturation,0.017984407,0.01707821,0.98442024,0.9980438,40.0,39.999893,952.0,1012.8075
89,maturation,0.02585107,0.038856544,0.98955107,0.99008393,15.0,14.999989,750.0,837.2091
90,maturation,0.037189767,0.012850954,0.9614453,0.9989058,16.0,15.99998,1152.5,1200.62
91,maturation,0.045875967,0.03920325,0.94893086,0.98926026,14.0,13.999982,686.5,788.5084
92,maturation,0.046713263,0.015400804,0.9409488,0.99842256,14.0,13.999985,978.0,1035.5128
93,maturation,0.04523738,0.0076334192,0.9552561,0.9995972,13.0,12.999986,1382.0,1411.2993
94,maturation,0.032594293,0.0067954413,0.9798363,0.9996541,17.0,17.000004,1541.5,1536.178
95,maturation,0.0173015,0.00744651,0.98224986,0.9996054,36.0,35.99997,1597.5,1640.7297
96,maturation,0.0142504545,0.05510814,0.98953867,0.9799415,23.0,23.11158,433.0,481.98587
97,maturation,0.01183398,0.2173039,0.99303836,0.68602884,16.0,16.0,489.5,326.02682
98,maturation,0.011609422,0.044386607,0.99254996,0.9870946,20.0,20.000004,532.5,504.37207
99,maturation,0.013560973,0.12533699,0.9921856,0.90137035,14.0,14.022493,593.5,466.13153
100,maturation,0.011724055,0.11974635,0.99323833,0.9066834,17.0,17.000002,551.0,442.97943
101,maturation,0.012782342,0.16782324,0.9927054,0.8217862,9.0,8.999988,442.5,326.61783
102,maturation,0.024161067,0.22877827,0.9846381,0.6613155,9.0,8.999993,502.5,341.62073
103,maturation,0.010069467,0.026658325,0.9956724,0.99536675,21.0,21.000051,500.5,500.24722
104,maturation,0.015825432,0.04003743,0.9813358,0.98953134,22.0,21.999998,519.5,492.1313
